route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
1128,100,tram,ЛМ/ЛВС,ГЭТ,город,,,,есть,110,get_tm
1440,101,bus,БК,"АО ""Третий парк""",ГП,Кронштадт,частник,,,60,1
234,102,bus,ОБК/БК,ПАТ,город,,,,,80,pat
221,103,bus,СК,"ООО ""Вест-Сервис""",ГП,Петергоф,,минимум,,40,5
1460,104,bus,БК,"АО ""Третий парк""",ГП,,частник,,,60,2
1761,105,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
235,106,bus,ОБК/БК,ПАТ,город,,,,,80,pat
236,107,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1562,108,bus,БК,"ООО ""Домтрансавто""",ГП,пром,частник,,,60,4
1763,109,bus,БК,"АО ""Третий парк""",ГП,,частник,,,60,2
1500,111,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,6
1800,112,bus,СК,"АО ""Третий парк""",ГП,,габарит,минимум,,40,3
304,113,bus,СК,"ООО ""Такси""",город,пром,,минимум,,40,16
1245,114,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1318,115,bus,БК,ПАТ,ГП,доп,КАП,,,60,pat
1314,116,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
1853,117,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,8
388,118,bus,ОБК/БК,ПАТ,город,,,,,80,pat
368,119,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
1742,120,bus,СК,"АО ""Третий парк""",ГП,,габарит,минимум,,40,15
1801,121,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
1802,122,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
237,123,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1803,124,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
2092,125,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
2313,126,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
331,127,bus,ОБК,ПАТ,город,,максимум,,,90,pat
1600,128,bus,БК,ПАТ,город,,,,,60,pat
1289,129,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,5
1288,130,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1804,131,bus,СК,"ООО ""Вест-Сервис""",город,пром,,минимум,,40,9
238,132,bus,БК,ПАТ,город,,,,,60,pat
239,133,bus,ОБК/БК,ПАТ,город,,,,,80,pat
7915,134,bus,БК,ПАТ,город,,,,,60,pat
3427,135,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
